1 2 3 4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
4 6 8 14 16 18 18 20 20 23 23 23 23 25 25 25 25 28 28 31 31 31 31 33 35 35 37 38 40 45 50 52 54 54 56 56 58 62 62 64
0 0 0 0  0  1  1  1  1  1  1  2  3  4  5  6  7  7  8  9  9  9  9  10 10 11 11 11 11 11 12 12 12 12 12 12 12 12 13 13
0 2 2 2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  3  3  3  3  3  3  3  5  7  7  7  8  8  10 10 10 10 10 10 10 10
0 2 2 2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  3  3  3  3  3  3  3  5  6  6  6  6  6  8  8  8  8  8  8  8  8
3 4 5 6  7  8  10 11 12 13 14 16 16 18 18 19 20 20 20 21 22 23 27 28 28 29 29 30 31 32 33 35 35 36 37 39 41 43 43 45
2 2 3 3  4  5  5  6  6  6  6  6  6  7  7  7  7  7  7  8  8  8  8  9  9  10 10 10 11 12 13 14 14 14 15 15 16 18 18 19
0 1 1 3  4  4  5  5  6  7  8  8  8  8  9  9  9  12 13 13 13 14 14 14 15 16 17 18 18 19 20 20 23 24 25 26 26 27 27 27
0 0 0 2  2  2  2  2  2  3  3  3  3  3  3  3  3  4  4  4  4  4  4  4  4  4  4  4  4  5  6  6  6  6  6  6  6  6  6  6
0 0 0 0  1  1  1  1  2  4  4  5  8  8  10 11 11 12 13 13 13 14 14 14 16 17 18 18 18 18 19 19 20 22 23 23 23 23 24 25
1 2 2 3  3  3  4  5  6  7  7  10 10 12 13 14 14 16 16 16 16 16 19 19 19 19 19 20 20 21 22 23 26 28 29 30 31 31 31 31
